A1_A2_BX3,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev block,PymatgenData std_dev atomic_radius,PymatgenData std_dev mendeleev_no,PymatgenData std_dev melting_point,X-electro_negativity,B-radius,B-Electro-negativity,A1-radius,A2-radius,OctahedralFactor,ToleranceFactor,NEWToleranceFactor,formation energy(ev)
i-BuA_AA_PbCl3,0.472462386,7.722222222,0.6164414,0.512491033,6.405420499,1715.80625,3.16,119,2.33,360,300,0.657458564,1.204438551,3.239825157,-0.462073663
i-BuA_AA_SrCl3,0.643644038,7.055555556,0.608759587,0.554563952,24.48939747,1718.131333,3.16,118,0.95,360,300,0.651933702,1.208466773,3.253256855,-0.304328849
i-BuA_Az_PbCl3,0.461738328,7.513513514,0.62299908,0.516336984,6.502897141,1825.373411,3.16,119,2.33,360,284,0.657458564,1.18558237,3.239318729,-0.684510504
i-BuA_Az_SnCl3,0.482870271,7.513513514,0.62299908,0.450773055,6.277269278,1826.411003,3.16,115,1.96,360,284,0.635359116,1.201603753,3.293364477,-1.30969538
i-BuA_Az_SrCl3,0.631687961,6.864864865,0.613768954,0.558235356,24.48571478,1825.850989,3.16,118,0.95,360,284,0.651933702,1.189547528,3.252200405,-0.3840977
i-BuA_MA_CaCl3,0.654553897,6.787878788,0.611198183,0.536712535,25.54970364,1677.431593,3.16,100,1,360,238,0.552486188,1.207869235,3.539912033,-0.849895629
i-BuA_MA_PbCl3,0.481066523,7.515151515,0.622841099,0.536712535,6.661348453,1671.973382,3.16,119,2.33,360,238,0.657458564,1.13137085,3.248187693,-0.981441954
i-BuA_MA_SnCl3,0.504571629,7.515151515,0.622841099,0.466376655,6.412765645,1672.510126,3.16,115,1.96,360,238,0.635359116,1.146659645,3.294968886,-1.377655177
i-BuA_MA_SrCl3,0.664826267,6.787878788,0.611198183,0.581528406,25.84519565,1675.966747,3.16,118,0.95,360,238,0.651933702,1.135154699,3.259226529,-0.6503932
i-BuA_MA_ZrCl3,0.591743722,6.909090909,0.761879105,0.485219763,15.86101633,1728.470084,3.16,109,1.33,360,238,0.602209945,1.170383638,3.378944056,3.518429067
